Title,PDF Link
UN Global Compact Strategy 2021–2023,https://ungc-communications-assets.s3.amazonaws.com/docs/about_the_gc/UN-GLOBAL-COMPACT-STRATEGY-2021-2023.pdf
From Ambition to Impact: How companies are reducing emissions at scale with science-based targets (Science Based Targets initiative Annual Progress Report 2020),https://sciencebasedtargets.org/resources/files/SBTiProgressReport2020.pdf
Accelerating Sustainable Seafood,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/Accelerating%20Sustainable%20Seafood.pdf
Building Sustainable and Resilient Healthcare Infrastructure in BRI Countries to Accelerate the Sustainable Development Goals,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/UNGC%20BRI%20AP%20Healthcare%20Report_English.pdf
Implementing Effective Modern Slavery Grievance Mechanisms: A Guidance Note for Business,https://unglobalcompact.org.au/wp-content/uploads/2021/03/4261-UNGC-Grievance-Mechanisms-GUIDANCE-DOC_28pp-9-FA.pdf
Effective Modern Slavery Grievance Mechanisms: A Case Study Publication for Business,https://unglobalcompact.org.au/wp-content/uploads/2021/03/4261-UNGC-Grievance-Mechanisms-CASE-STUDY-10-FA.pdf
Tackling Climate Change is the Greatest Global Health Opportunity of the Twenty-First Century - An Empowering Business Narrative and Call for Health Resilient Climate Action,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/UNGC%20Business%20Narrative%20and%20Call%20for%20Health%20Resilient%20Climate%20Action.pdf
Black Lives Matter & Business,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/Black-Lives-Matter-Business-report.pdf
Implementing Effective Modern Slavery Grievance Mechanisms: A Guidance Note for Business,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/Implementing%20Effective%20Modern%20Slavery%20Grievance%20Mechanisms_Guidance%20Note%20for%20Business_FINAL.pdf
Effective Modern Slavery Grievance Mechanisms: A Case Study Publication for Business,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/GCNA_Effective%20Modern%20Slavery%20Grievance%20Mechanisms_Case%20Study%20Report%20for%20Business_FINAL.pdf
SBTi Corporate Manual,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/SBTi-Corporate-Manual.pdf
Maritime Transport and the COVID-19 Crew Change Crisis: A Tool to Support Human Rights Due Diligence,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/Maritime-Human-Rights-Risks-and-the-COVID-19-Crew-Change-Crisis.pdf
Achieving the Living Wage Ambition: Reference Sheet and Implementation Guidance,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/Achieving_the_Living_Wage_Ambition_Reference_Sheet_and_Implementation_Guidance_EN.pdf
EXECUTIVE SUMMARY - SDG 16 Business Framework Inspiring Transformational Governance,https://ungc-communications-assets.s3.amazonaws.com/docs/publications/EXECUTIVE-SUMMARY-SDG-16-Business-Framework-Inspiring-Transformational-Governance.pdf
