Market,StockExchange,StockExchangeLink,Year,ESGGuidance,GRI,SASB,TCFD,IIRC,CDSB,CDP,Name,Country,Number of listed companies,Domestic market capitalization,SSE Partner Exchange,Has annual sustainability report,ESG reporting required as a listing rule,Has written guidance on ESG reporting,Offers ESG related training,Market covered by sustainability-related index,Has sustainability bond listing segment,Has SME listing platform,Women on boards mandatory minimum rule,Additional information,Organizational model of stock exchange,Regulatory bodies,Regulatory model,About the stock exchange,PdfPath_1,PdfPath_2,PdfPath_3,PdfPath_4,PdfPath_5,PdfPath_6,PdfPath_7,PdfPath_8
Lithuania,Nasdaq Vilnius,https://sseinitiative.org/stock-exchange/nasdaq-vilnius/,2019,ESG Reporting Guide 2.0: A Support Resource for Companies,⬤,⬤,⬤,⬤,,⬤,Nasdaq Vilnius,Lithuania,32,"5,746 million US$",Yes,"Yes


Sustainability Section on Website.
Sustainability Report 2017.
Corporate Governance section in 2017 Annual Report.",No,"Yes


ESG Report Guide released in March 2017 across Nasdaq’s Nordic and Baltic Exchanges.","Yes


Nasdaq Nordic and Baltic exchanges run a pilot program on ESG reporting.",No,"Yes


Riga/Tallinn/Vilnius, Nasdaq Baltic Market, June 18, 2018– Nasdaq.",No,No,"Nasdaq Progress Report 2014, United Nations Global Compact.
The Nasdaq speaks, moderates, sponsors, or otherwise exhibits at key industry events related to sustainability. (Source).
Nasdaq and CERES’ Investor Network on Climate Risk (INCR) is working with other partners to create an investor-centric sustainability reporting proposal for public companies and stock exchanges. (Source).
Nasdaq had a three-part article series in 2013, called Doing Well by Doing Good. (Source).
Nasdaq is a member of the United Nations Global Compact and Chair of the WFE Sustainability Working Group. (Source).
Board Member, US Global Compact US Network; Advisory Board Member, SASB.","Listed company for profit; demutualized in:
NASDAQ – 2000
OMX – 1993",Lithuania – Bank of Lithuania.,"Limited Exchange Self-Regulatory Organization (SRO) Model.

Regulatory practices in regards to this exchange vary slightly from country to country. However, the exchanges operated by Nasdaq in each country appear to have basic regulatory oversight. However, the ultimate regulatory authority for each market lies with the regulatory bodies listed.","HQ Location: New York, New York.

Nasdaq (Nasdaq: NDAQ) is a leading global provider of trading, clearing, exchange technology, listing, information and public company services. Through its diverse portfolio of solutions, Nasdaq enables customers to plan, optimize and execute their business vision with confidence, using proven technologies that provide transparency and insight for navigating today’s global capital markets. As the creator of the world’s first electronic stock market, its technology powers more than 90 marketplaces in 50 countries, and 1 in 10 of the world’s securities transactions. Nasdaq is home to approximately 3,900 total listings with a market value of approximately $13 trillion. To learn more, click here.",,,,,,,,
Malaysia,Bursa Malaysia,https://sseinitiative.org/stock-exchange/bursa-malaysia/,2018*,Sustainability Reporting Guide,⬤,⬤,⬤,⬤,,⬤,Bursa Malaysia (Malaysian Exchange),Malaysia,976,"370,837.50 million US$",Yes,"Yes


Bursa Malaysia has several years’ worth of standalone sustainability reports available on its website.","Yes


In October 2015, Bursa Malaysia issued amendments to the Main Market Listing Requirements (“Main LR”) and ACE Market Listing Requirements (“ACE LR”) (collectively referred to as the “LR”) relating to sustainability statements in annual reports (“Sustainability Amendments”). Under the Sustainability Amendments, listed issuers are required to disclose a narrative statement of the management of material economic, environmental and social (“EES”) risks and opportunities (“Sustainability Statement”) in their annual reports. This replaces the existing statement on the corporate social responsibility (“CSR”) activities or practices required to be disclosed by listed issuers. For the Main Market listed issuers, they are also required to include in their Sustainability Statement, the prescribed information as set out in Practice Note 9 of the Main LR such as the governance structure, the scope of the Sustainability Statement and the management of material EES risks and opportunities (“material sustainability matters”). The prescribed disclosure is not applicable to ACE Market listed corporations given the type and size of the listed corporations. In addition to the above, the LR also encourages all listed issuers to refer to the Sustainability Reporting Guide (described below) as a best practice when preparing the Sustainability Statement and in identifying material sustainability matters. The Sustainability Amendments take effect on a staggered basis over a period of 3 years, starting from 31 December 2016 to 31 December 2018.
For more details refer to Chapter 9 of the Main Market Listing Requirements and to Chapter 9 of the ACE Market Listing Requirements","Yes


The Sustainability Reporting Guide (3rd Edition) can be found here.
More resources are available here.","Yes


In 2022, Bursa Malaysia provided training on Climate-related Financial Disclosures (TCFD recommendations) in collaboration with the SSE, CDP and IFC. (source)

Bursa Malaysia provides an e-learning course “Introduction to Sustainability”

See also past event on ESG-related topics here.","Yes


FTSE4Good Bursa Malaysia Index, FTSE4Good Bursa Malaysia Shariah Index, FTSE Bursa Malaysia Top 100 ESG Low Carbon Select Index, FTSE Bursa Malaysia Top 100 ESG Low Carbon Select Shariah Index. Source",No,"Yes


ACE Market
LEAP 
since 2009.","Yes


Busa Malaysia had announced the requirement for PLCs with market capitalisation of RM2 billion as at 31 December 2021, to appoint at least one woman Board member by 1 September 2022. For the remaining PLCs, the requirement must be complied with by 1 June 2023.

See also Bursa Malaysia Listing Requirements on Corporate Governance here.

According to the Malaysian Code on Corporate Governance 2027, p.24, “For Large Companies, the board must have at least 30% women directors.” (source)","Bursa Malaysia launched on April 24, 2018 BURSASUSTAIN, a one-stop portal on corporate governance and sustainability. It provides users (i.e. listed issuers, investors and other stakeholders) with ease of access to current information on corporate governance, sustainability as well as responsible investment.",Listed company for profit; demutualized in 2004.,Securities Commission.,"Strong Exchange Self-Regulatory Organization (SRO) Model

Bursa Malaysia is an exchange holding company approved under section 15 of the Capital Markets and Services Act 2007 by the Securities Commission (“SC”) being the primary regulator of the capital market. Bursa Malaysia is the frontline regulator and has the duty to maintain a fair and orderly market in the securities and derivatives that are traded through its facilities. In this regard, Bursa Malaysia has put in place a comprehensive and effective regulatory and supervisory framework to regulate the market, its participants and listed issuers. In this respect, Bursa Malaysia has issued various sets of rules to stipulate the requirements that need to be met by the regulated entities either upon admission and/or on a continuing basis. It administers and monitors compliance with these rules and takes strict, prompt and objective enforcement action for breaches of these rules. Bursa Malaysia actively supervises the listed issuers and the participants. It also undertakes surveillance over the trading activities in the marketplace. The SC supervises and monitors Bursa Malaysia to ensure that Bursa Malaysia performs its regulatory duties and obligations in an effective manner. Under the law, the SC’s approval is required for changes to Bursa Malaysia’s rules.","Location: Kuala Lumpur, Malaysia.

Established in 1973, Bursa Malaysia demutualised and became an exchange holding company in 2004, and subsequently listed on Bursa Malaysia Securities Berhad (MYX: 1818) in 2005. Today, it is one of the largest bourses in Asia, hosting more than 900 public listed companies across 60 economic activities. We operate and regulate a fully integrated exchange offering a comprehensive range of exchange-related facilities including listing, trading, clearing, settlement and depository services. We offer a diverse spread of products covering equities, derivatives, offshore listings and services and bonds and Islamic offerings. In assisting the development of the Malaysian capital market, Bursa Malaysia is committed to provide the infrastructure needed to create a globally competitive and vibrant marketplace. (Source).",,,,,,,,
Mexico,Bolsa Mexicana de Valores,https://sseinitiative.org/stock-exchange/bmv/,2017,Sustainability Guide: Towards Sustainable Development of Companies in Mexico,⬤,⬤,,⬤,,⬤,Bolsa Mexicana de Valores (Mexican Stock Exchange),Mexico,144,"459,707.62 million US$",Yes,Yes,No,"Yes


Detailed sustainability guide launched in 2017
Best Practice Corporate Governance Code (in Spanish)","Yes


Offers diplomas in corporate governance and climate finance.
In 2022, Bolsa Mexicana de Valores provided training on Climate-related Financial Disclosures (TCFD recommendations) in collaboration with the SSE, CDP and IFC. (source)","Yes


S&P/BMV Total Mexico ESG Index, more details in English and Spanish.
ISRS Sustainability Index: Índice IPC Sustentable (ISRS).","Yes


10 labeled bonds have been issued in Mexico, 4 of which were Sustainable Bonds with a special designation in their ticker symbol.
Developed Green Bonds Principles MX along with Climate Finance Advisory Group (CCFC) in 2017.",No,No,Social responsibility section on website,Listed company for profit; demutualized in 2008,Comision Nacional Bancaria de Valores (CNBV),"Limited Exchange Self-Regulatory Organization (SRO) Model

The Bolsa Mexicana de Valores does not require the Comision Nacional Bancaria de Valores’ (CNBV) permission to install regulations. However, the CNBV has the authority to veto any installed regulations, remove officers or directors and revoke the self-regulatory status of the exchange. Additionally, exchanges must report to the CNBV on their adherence to any imposed self-regulatory practices.","Location: Mexico City, Mexico

BMV Group is a fully integrated Exchange Group that operates cash, listed derivatives and OTC markets for multiple asset classes, including equities, fixed income and exchange traded funds, as well as custody, clearing and settlement facilities and data products for the local and international financial community. BMV is the second largest stock exchange in Latin America with a total market capitalization of over US$ 530 billion. (More here)",,,,,,,,
Morocco,Bourse de Casablanca,https://sseinitiative.org/stock-exchange/casablanca_bourse/,2017,Guide sur la Responsabilité Sociètale des Enterprises et le reporting ESG,⬤,,,⬤,,,Bourse de Casablanca (Casablanca Stock Exchange),Morocco,76,"76,293.28 million US$",Yes,"No


Annual Report contains a few highlights in the area of sustainability.","Yes


AMMC Circular No. 03/19, Chapitre II. Gouvernance, deontologie et rapport <>. Section 3: Rapport ESG","Yes


Released Guide sur la Responsabilité Sociétale des Entreprises et le reporting ESG (in French) on CSR and ESG reporting in May 2017, in conjunction with the AMMC.",No,No,"No


Organized the Marrakech Pledge for Fostering Green Capital Markets during COP22 in September 2016.
Partnered with the Moroccan Capital Markets Authority and the SSE in a conference during COP22, titled “Encouraging green capital markets in the South.”","Yes


Development Market.","Yes


There is a 30% mandatory minimum rule for women on boards (Source)",,Private company for profit.,The Conseil Deontologique des Valeurs Mobilières (CDVM).,"Limited Exchange Self-Regulatory Organization (SRO) Model

Very few exchanges in the MENA region are entirely self-regulated. The Conseil Deontologique des Valeurs Mobilières (CDVM) is the primary regulatory authority in Morocco and is responsible for issuing listing requirements and overseeing the Casablanca Stock Exchange. Additionally, most regulatory laws adhered to in Morocco have come by royal decree. As a result, the Casablanca Stock Exchange has limited regulatory power.","Location: Casablanca, Morocco

The Casablanca Stock Exchange was established in 1929. At that time, it was known as the “Office de Compensation des Valeurs Mobilières” (Office for Clearing of Transferable Securities). The growing importance of the securities market and the introduction of foreign exchange controls prompted the authorities at that time to improve and regulate the Stock Exchange’s organisation and operations. The market’s organisational shortcomings hindered however its attractiveness at a time when domestic investors showed a growing interest in stock market investment. To overcome such shortcomings, reforms were undertaken in 1967, providing Morocco’s financial markets with a well-organised legal and technical framework. Following these reforms, in 1986, Morocco embarked on a Structural Adjustment Programme which was completed ten years later. This Programme enabled Morocco to consolidate its fundamentals and successfully bring under control its high level of debt and inflation. (Source)",,,,,,,,
Netherlands,Euronext Amsterdam,https://sseinitiative.org/stock-exchange/euronext-amsterdam/,2022*,ESG Reporting Guide - Target 1.5°C,⬤,⬤,⬤,⬤,⬤,⬤,Euronext Amsterdam,Netherlands,164,"1,131,876 million US$",Yes,"Yes


There is a chapter in the annual report dedicated to sustainability activities, find all reports here.","Yes


The European directive on non-financial information reporting (NFRD) has been implemented into the Dutch legal environment.
Moreover, Euronext Amsterdam supports and implements ESMA’s and National Competent Authorities stringent rules with regards to governance among its community of listed companies","Yes


ESG Reporting Guide – Target 1.5°C","Yes


Through the Euronext Academy, see more details here.","Yes


See the list of indices on the Euronext website here. ESG/ISR indices fall under the tab “theme indices”. This list is automatically updated.","Yes


Euronext ESG Bonds is a community of ESG bond issuers where green, sustainability, social, blue and sustainability-linked bonds listed on all Euronext locations are consolidated onto one highly visible area. Details of the securities here.","Yes


Euronext Growth, Euronext Access, Euronext Access+. More information here.",No,"Euronext supports climate friendly innovations by financing Cleantech SME’s benefitting from major Euronext initiatives:

TechShare: 27 Cleantech have followed the program on how to leverage capital markets
Tech40 Index: 10% of this increasingly important index is made up of Cleantech SME’s
Morningstar: the program fully covers the scope of Cleantech SME issuers (55).",Listed company for profit; demutualized in 2000,"De Nederlandsche Bank.
The Netherlands Authority for the Financial Markets (AFM).
The Dutch Ministry of Finance.
European Union (ESMA).","Government (Statutory) Model

The Markets in Financial Instruments Directive (MiFID) classifies Euronext’s European cash markets as a regulated market. As such, the real-time monitoring performed by Euronext’s cash market operations and technical support is formally enforced, and our trading rules and procedures are approved by our five regulators. This regulatory and organizational system gives Euronext the power to efficiently manage crisis situations and extraordinary circumstances. Some of the markets organized by Euronext are exchange regulated, which means they are subject to a body of rules laid down by the market operator, Euronext. They are not regulated markets as defined by the Markets in Financial Instruments Directive (MiFID). These structured, exchange regulated markets offer simplified access to financial markets and streamlined listing requirements for companies from every sector of the economy, while ensuring compliance with rules on investor disclosure and the control of financial information. (Source).","Location of the listed holding: Amsterdam, Netherlands.

Both Euronext and Euronext Amsterdam have an exchange licence from the Dutch authorities to operate regulated markets. This means that they are subject to the regulation and supervision of the Dutch Minister of Finance and the Autoriteit Financiële Markten (“AFM”). Since the creation of Euronext in 2000, the Dutch regulators have taken the view that the direct parent company of Euronext Amsterdam, as controlling shareholder, has to be seen as co-market operator and, accordingly, also requires an exchange licence. Pursuant to section 5:26 paragraph 1 of the Dutch Financial Supervision Act it is prohibited in the Netherlands to operate or to manage a regulated market without a licence granted by the Dutch Minister of Finance. The Dutch Minister of Finance may, at any time, amend or revoke the licence if necessary to ensure the proper functioning of the markets or the protection of investors. The licence may also be revoked for non-compliance with applicable rules. Euronext is the leading pan-European exchange in the Eurozone, spanning Belgium, France, Ireland, Norway, the Netherlands, Portugal, the UK and Ireland. Created in 2000, it unites markets which date back to the start of the 17th century. It is the primary exchange in the Euro zone with nearly 1,500 listed issuers worth more than €4.5 trillion in market capitalization as of end May 2019, an unmatched blue chip franchise consisting of 20+ issuers in the Morningstar® Eurozone 50 Index℠ and a strong diverse domestic and international client base.",,,,,,,,
New Zealand,New Zealand Stock Exchange,https://sseinitiative.org/stock-exchange/nzx/,2017,"Environmental, Social and Governance: NZX Guidance Note",⬤,⬤,⬤,⬤,,⬤,New Zealand Stock Exchange,New Zealand,125,"108,121 million US$",Yes,"No


However, Annual Report contains Corporate Governance section (pg 27).",No,"Yes


Published ESG Guidance in December 2017, which was updated in April 2023. See the updated version here.
Published Corporate Governance Code in May 2017, which was updated in April 2023. See the updated version here. The Code now requires the issuer to provide non-financial ESG disclosure at least annually.",No,No,"No


Promoting growth of local green bond market (Annual Report 2017, pg 11).","Yes


NXT
NZX Alternative Market (NZAX)
since 2015",No,"Signed an MOU in January 2018 with the Hong Kong Exchanges and Clearing Limited (HKEX) to promote cooperation as well as sustainability and green finance initiatives across the Asia-Pacific markets.
Signed a similar MOU in March 2018 with the Singapore Exchange (SGX).",Listed company for profit; demutualized in 2002.,Financial Markets Authority.,"Limited Exchange Self-Regulatory Organization (SRO) Model

The New Zealand Exchange (NZE) co-regulates the stock exchange with the Financial Markets Authority (FMA). However, the FMA has ultimate regulatory approval and is in charge of enforcing securities, company reporting, and company laws.","Location: Wellington, New Zealand.

NZX provides high quality information, data and tools to support business decision making. We build and operate capital, risk and commodity markets and the infrastructure required to support them. We strive to make a meaningful difference to wealth creation for our shareholders, and the individuals, businesses and economies in which we operate. (Source).",,,,,,,,
Nigeria,Nigerian Exchange,https://sseinitiative.org/stock-exchange/nse_nigeria/,2018,Sustainability Disclosure Guidelines,⬤,,,,,,Nigerian Exchange (NGX),Nigeria,174,"86,163 million US$",Yes,"Yes


Sustainability Section and Corporate Governance Section on website.
Annual Sustainability Reports. 2020 Report – “EVOLVING For Better Value Creation“.","Yes


Effective January 2019, for all issuers on the Premium Board of the exchange.
SEC Approved Rules here.","Yes


Sustainability Disclosure Guidelines (2018).","Yes


The NGX provides various trainings through its X Academy. Some have key ESG integrations, and more are scheduled to in the future. See the full program here
On June 2023, The International Sustainability Standards Board (ISSB), Financial Reporting Council of Nigeria (FRCN), and NGX Regulation Limited (NGX RegCo), recently organized five webinars to prepare companies for the imminent release of the ISSB’s first two IFRS Sustainability Disclosure Standards, see full press release 
NSE, GRI Host Round-table on Sustainable Development Goals (18 July 2019).
NSE, GRI Host Sustainability Reporting Workshop (19 March 2019).
Governance and Sustainability Seminar (16 March 2018).
Seminar – Beyond Reporting: Real Value Proposition (8 June 2016).
Inaugural capital market sustainability conference (13 Nov 2015).
In 2022, NGX provided training on Climate-related Financial Disclosures (TCFD recommendations) in collaboration with the SSE, CDP and IFC. (source)",No,"Yes


Sustainable Bond Market","Yes


NSE Alternative Securities Market, since 2013.",No,"Admitted to “Gold Community” of the Global Reporting Initiative.
Reported the NSE Sustainability Report in line with the GRI G4 Guidelines.
Celebrated the 2017 International Women’s Day with a half day symposium, playing host to over 200 business and thought leaders and participated in the Ring the Bell for Gender Equality program.
Celebrated International Women’s Day in March 2016 with over 150 business and thought leaders. Participated in the “Ring the Bell for Gender Equality” program.","Not For profit, limited by guarantee with no shareholding structure. (In discussions to demutualize).",Securities and Exchange Commission of Nigeria.,"Limited Exchange Self-Regulatory Organization (SRO) Model.

Pursuant to the Investment and Securities Act 2007, the Securities and Exchange Commission of Nigeria (SEC) engages in registration, inspection, surveillance, investigation, enforcement and rulemaking activities. The Investment and Securities Act 2007, the SEC Consolidated Rules and Regulations 2013, and the license issued to The Nigerian Stock Exchange (“The Exchange”) by the SEC empowers The Exchange to engage in registration, inspection, surveillance, enforcement and rule making activities in respect of its dealing members and listed companies. The rules of The Exchange however need to be approved by the SEC before they can become operational.","Location: Lagos, Nigeria.

The Nigerian Stock Exchange (NSE or the Exchange) was founded in 1960 and today services the second largest financial center in sub-Saharan Africa. The NSE is licensed under the Investments and Securities Act (ISA), and is registered and regulated by the Securities and Exchange Commission (SEC) of Nigeria. The Exchange is a founding member and executive committee member of the African Securities Exchanges Association (ASEA), a member of the Intermarket Surveillance Group (ISG), an affiliate member of the World Federation of Exchanges (WFE), and an affiliate member of the International Organization of Securities Commissions (IOSCO).The NSE continues to evolve to meet the needs of its valued customers, and to achieve the highest level of competitiveness. Along with securities listing and trading services, the Exchange offers market data dissemination services, market indices, ancillary technology services and much more. The Nigerian Stock Exchange also offers electronic clearing, settlement and delivery (CSD) services through Central Securities Clearing Systems Plc (CSCS), an associate company of the NSE. With over 250 listed securities and 223 active brokers, the Exchange operates a fair, orderly and transparent market that brings together the best of African enterprises, and the local and global investor communities. The Nigerian Stock Exchange is poised to champion the acceleration of Africa’s economic development, and to become “the Gateway to African Markets”. (Source).",,,,,,,,
North Macedonia,Macedonian Stock Exchange,https://sseinitiative.org/stock-exchange/mse_macedonia/,2021,ESG reporting guidelines,⬤,⬤,⬤,⬤,⬤,⬤,Macedonian Stock Exchange,North Macedonia,368,"32,470 million US$",Yes,No,No,"Yes


MSE – ESG reporting guidelines",No,No,No,"Yes


Within the official market of the MSE, there are special sub segments for listing of small joint stock companies.",No,,"The MSE is organized as a joint-stock company, governed by a Board of Directors composed of one executive member, Chief Executive Director – and seven non-executive directors (one-tier management system), operating on a for profit basis. MSE is not listed on the Official Listing tier, although its shares are traded on the Free Market sub-segment of its Regular Market.",Securities and Exchange Commission of the Republic of Macedonia (SEC),"SEC’s supervision authority legally prescribes SRO functions for the MSE (limited SRO) The SEC is the primary regulatory authority for the capital market in Macedonia. The SEC regulates, supervises and monitors enforcement of the Law on Capital Market, Takeover Law and Law on Investment Funds. The SEC’s main responsibilities in regulating the stock exchange operations are to supervise the legality of the stock exchange organization and proper conduct of stock exchange trading, operations and membership. Rules of the MSE that regulate membership, trading, listing and business conduct are subject to the SEC’s approval, hence the limited self-regulatory powers of the Macedonian Stock Exchange. The SRO status of the MSE is regulated in the Law on Securities, art. 82, which stipulates that MSE as a self-regulatory organization adopted conduct rules for its members regarding implementation of the MSE’s regulations and the Law on Securities. Under the positive legislation, MSE determines listing criteria for the companies in its listing rules, although this concept will be changed once the MIFID II is introduced into domestic legislation.","Location: Skopje, former Yugoslav Republic of Macedonia Macedonian stock exchange was founded in 1995.

On September 13 the inaugural meeting of the MSE took place. This is the official date of the establishment of the first organized securities exchange in the history of the Republic of Macedonia considering that the country had never before had a stock exchange. The total number of initial founders of the MSE was 19 (13 banks. 3 insurance companies and 3 savings houses). These founders simultaneously became the first exchange members with right to trade securities. MSE started trading on March 28, 1996. Today, MSE is a modern and regulated market operator which operates the only securities exchange in the country. Currently, MSE has 11 members (4 brokerage houses and 7 banks). It organizes trading in financial instruments in a fair, efficient and transparent manner. Additional services include data vending, index development and specialized educational seminars and training courses.",,,,,,,,
Norway,Oslo Børs (Euronext),https://sseinitiative.org/stock-exchange/oslo-bors/,2022*,ESG Reporting Guide - Target 1.5°C,⬤,⬤,⬤,⬤,⬤,⬤,Oslo Børs (Euronext),Norway,341,"433,117 million US$",Yes,Yes,No,"Yes


ESG Reporting Guide – Target 1.5°C","Yes


Oslo Børs offers a number of interesting events focusing on different areas in the securities market, such as ESG. More details here.

As part of Euronext, Oslo Børs, provides ESG related training through the Academy.","Yes


See the list of ESG indices on the Euronext website here.","Yes


Euronext ESG Bonds is a community of ESG bond issuers where green, sustainability, social, blue and sustainability-linked bonds listed on all Euronext locations are consolidated onto one highly visible area. Details of the securities here.","Yes


Euronext Growth, Euronext Access, Euronext Access+. More information here.",No,,Demutualised for profit; demutualized in 2001.,The Financial Supervisory Authority of Norway.,"Limited Exchange Self-Regulatory Organization (SRO) Model

The Oslo Børs exchange operates under statutory law and supervision by the Financial Supervisory Authority of Norway, which is the primary regulatory body for security exchanges in Norway. The exchange possesses basic self-regulatory authority abilities.","Location: Oslo, Norway.

Oslo Børs VPS Holding ASA owns Oslo Børs ASA, Verdipapirsentralen ASA and Oslo Market Solutions AS. The Oslo Børs VPS group offers coordinated and attractive marketplaces for listing and trade in securities, registration of ownership and settlement of securities in Norway, market data and on-line solutions. Oslo Børs VPS Holding is the result of a merger between Oslo Børs Holding and VPS Holding that took place in November 2007.",,,,,,,,
Oman,Muscat Stock Exchange,https://sseinitiative.org/stock-exchange/msm/,2023,ESG Disclosure Guidelines,⬤,⬤,⬤,⬤,,⬤,Muscat Stock Exchange,Oman,110,"61,018 million US$",Yes,"Yes


There is a sustainability chapter in the annual report since 2021. Access all annual reports here.",No,"Yes


In 2023, MSX published an ESG Disclosure Guidance document","Yes


In 2023, MSX hosted the first Capital Market Industry Participant, IRO & CEO Workshop on the Fundamentals of ESG with Sustainable Square (page 6)",No,No,No,No,MSM is a leader in the region in implementing transparent corporate governance.,Listed in third market,Capital Market Authority.,Closed Omani joint-stock company,"Location: Sultanate of Oman, Oman

The Muscat Securities Market (MSM) was established by the Royal Decree (53/88) issued on 21 June 1988 to regulate and control the Omani securities market and to participate, effectively, with other organizations for setting up the infrastructure of the Sultanate’s financial sector. According to the Royal Decree 5/2021 (the Muscat Securities Market was converted convert into a closed Omani joint-stock company under the name “Muscat Stock Exchange Company”. Muscat Stock Exchange provides a comprehensive range of products and services and works to encourage savings, develop investment awareness and protect investors. It also works to create ways to invest money in securities for the joint benefit of the national economy and investors. Muscat Stock Exchange seeks to become a leading stock exchange with a global presence, as well It aims to provide an efficient investment environment that operates according to the best standards and practices with prospects of diverse opportunities integrated with the national economy trends.",,,,,,,,
Panama,Latin American Stock Exchange,https://sseinitiative.org/stock-exchange/bvp/,2021,Guide for Reporting and Voluntary Disclosure of ESG,⬤,⬤,⬤,⬤,⬤,⬤,Latin American Stock Exchange (Latinex),Panama,214,"18,013.00 million US$",Yes,"Yes


Latin American Stock Exchange (Latinex) sustainability report and strategy available in Spanish and English contains information regarding the group’s environmental, social and corporate governance (ESG) management and performance. All sustainability-related reports and strategies can be accessed here.",No,"Yes


Latinex launched in 2021 its ESG reporting guidelines for issuers:  “Guide for Reporting and Voluntary Disclosure of Environmental, Social and Corporate Governance Factors (ASG)”
Also available in English here","Yes


In 2022, Latinex provided training on Climate-related Financial Disclosures (TCFD recommendations) in collaboration with the SSE, CDP and IFC. (source)",No,"Yes


Guidelines for the issuance of Social, Green and Sustainable Securities in Spanish and English",No,No,,"The holding company (Latinex Holdings), which owns 100% of the stock exchange, as well as the CSD, is a listed company for profit. On October 22, 2009, both BVP and Latin Clear’s shareholders approved the corporate reorganization and creation of Latinex Holdings, which would own both companies. On February 2011, the SMV authorized the registry of Latinex Holdings’ common stock and the new shares begun trading publicly.",Superintendencia del Mercado de Valores (SMV).,"Bolsa de Valores de Panamá (BVP) is a private company registered under SMV as a Stock Exchange, which along with the local CSD Latin Clear (Central Latinoamericana de Valores) are under the same holding company. The holding company, Latinex Holdings, is also a listed company and its shares are listed in BVP. BVP is under SMV’s jurisdiction, and so, all activities are subject to SMV direct oversight. BVP is responsible for monitoring and overseeing market participants acting as members registered in BVP. BVP is also responsible and in charge of listing procedures that private companies must fulfill after having SMV public offering authorization. BVP provides SMV daily information of market operations and all other issues and documents required. BVP collaborates with the regulator for the local capital market development.","Location: Panama City, Panama.

BVP is the only stock exchange in Panama. Founded on June 26, 1990 and ended the first year with traded volumes of USD 3.3 MM. Latin Clear was created in 1997 as a stand-alone company. Since May, 2017, it has a direct integration project with El Salvador’s Stock Exchange via the remote operator figure, which allows authorized brokerage houses to trade directly in the foreign exchange with the same benefits and obligations. In 2018, the BVP participated in the SSE’s “Ring the Bell for Gender Equality”.",,,,,,,,
